,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_cma:optimizer:2,system_attrs_cma:optimizer:3,system_attrs_cma:optimizer:4,system_attrs_cma:optimizer:5,system_attrs_cma:optimizer:6,state
0,0,,2026-05-19 13:57:13.156769,2026-05-19 13:57:13.952427,0 days 00:00:00.795658,9.638261134351115,41.90907558465886,40.45282146073668,-79.93806543894101,20.2666026950593,63.09398417160753,6.329700924323226,18.92844147775297,3.968651429251347,20.76483071855803,56.11382946399662,72.56503952794375,-41.02305362893816,58.23614817765181,33.57942560383345,25.16302173424047,-56.7685859815323,-1.1506867778175423,Unfeasible shape,,,,,,,,,PRUNED
1,1,36.121550897236716,2026-05-19 13:57:14.037585,2026-05-19 13:59:29.771157,0 days 00:02:15.733572,78.79935911874733,50.957759364072025,14.803489141126068,-25.02795172733343,66.15553553007335,51.736615280206,26.625297395267662,-28.91249412690391,111.4175290132238,45.28069795302359,38.681814589232495,23.908420017922737,-28.946587788846116,60.540724191003655,43.34154390648954,5.325134126620645,-46.72817282520782,57.16409139520968,,,,,,,,,,COMPLETE
2,2,21.079145202573017,2026-05-19 13:59:31.091791,2026-05-19 14:00:32.734526,0 days 00:01:01.642735,41.17746791497141,48.23062605829024,43.440507693240036,-42.716507710332,43.01834231490645,36.26497090398421,32.69995871787846,-36.22055551641277,52.706075949244784,78.9151214065202,22.015644226410675,17.45354547366731,-52.360651561724076,22.097731798755987,53.55291874437011,62.467651858792905,-26.29800737014638,39.478152714544734,,0.0,,,,,,,,COMPLETE
3,3,15.106165063634801,2026-05-19 14:00:34.609294,2026-05-19 14:04:02.926696,0 days 00:03:28.317402,13.077607312431926,30.988084864538262,47.254967935429356,-12.795433201186,39.153707668682564,32.49617415326178,53.17917033020811,-24.56449342447921,26.102482479544108,37.85223275494232,34.562268434687965,51.88263218917151,-60.88466396091566,29.931316874593687,41.25505048147621,54.75683369019743,-4.738669361771571,40.55365120830592,,0.0,,,,,,,,COMPLETE
4,4,35.469521937302495,2026-05-19 14:04:08.618594,2026-05-19 14:09:56.455462,0 days 00:05:47.836868,35.88164805320277,25.9401470557081,36.2224738737034,-33.64731063639891,16.819191978009513,58.86270064354498,23.581228616477123,-17.845428750831104,65.53314339997539,39.97319952282738,24.608423248965412,55.30384811472447,-51.146689134991355,35.98439466459274,10.858525447136248,51.87609610707479,4.656110978018461,19.566366594410614,,0.0,,,,,,,,COMPLETE
5,5,41.50289197486869,2026-05-19 14:10:03.345622,2026-05-19 14:15:38.719341,0 days 00:05:35.373719,56.35850834180246,34.9519890853578,43.16795173995606,-39.71877667002052,31.81967890983522,40.04426294972093,62.071214024338786,-3.25625234546019,56.90449119310489,40.477782903200875,29.94195424280832,40.77483467022287,-63.15466317322499,43.6622828371119,50.30122724245137,44.79384340224577,0.3085227084945572,40.25131833616237,,0.0,,,,,,,,COMPLETE
6,6,,2026-05-19 14:15:44.876277,2026-05-19 14:15:46.311570,0 days 00:00:01.435293,30.787727918687082,64.05503444012956,24.264349444364697,-34.38226613102702,32.603293088061776,23.00160796500627,59.527584633491394,-19.258511040615865,0.35034165875593537,49.45248889055211,51.67493154290675,54.07715774344756,-22.521637249963902,49.888733860494256,38.95889808022746,44.57316753029519,-7.321000636226202,14.455257629000702,Unfeasible shape,0.0,,,,,,,,PRUNED
7,7,36.050633474560875,2026-05-19 14:15:46.746471,2026-05-19 14:21:28.993044,0 days 00:05:42.246573,59.96557155117708,41.974534397147906,20.724331841589866,-40.234655779030746,21.052120706751182,43.54600824770932,57.89523584048114,-11.704321901406288,15.26036814287686,38.84843312666986,28.51367352391319,27.296460423142086,-48.21779230124044,40.825124555766386,43.06619677387191,55.87334549005044,-29.02496996711252,38.337747224091544,,0.0,,,,,,,,COMPLETE
8,8,36.58412852533432,2026-05-19 14:21:35.376348,2026-05-19 14:26:56.324908,0 days 00:05:20.948560,59.52517547311958,45.802920308215704,27.502475890052736,-26.847888027236408,46.10315246661924,32.28174645570747,10.252496438072876,-11.669199992141586,32.400703406735495,16.44817727932164,52.11163158508147,36.57514465021289,-22.54762438709249,48.02140605611844,50.6822102106702,15.489945106664688,-11.880823160610042,29.64633326441689,,0.0,,,,,,,,COMPLETE
9,9,,2026-05-19 14:27:02.293696,2026-05-19 14:27:03.685147,0 days 00:00:01.391451,21.0341273684268,11.655316880449572,8.782049028342563,-46.38629930411889,78.5083436146004,54.65900932608546,39.553120132908504,1.3726977544237826,69.74081599535579,30.062667420343704,45.50335161224003,41.281361425219714,-39.22011242545032,55.341760492064175,40.04541775026178,59.43684226057304,-35.478085030298054,24.95426764751256,Unfeasible shape,0.0,,,,,,,,PRUNED
10,10,48.29112633397574,2026-05-19 14:27:04.129687,2026-05-19 14:32:39.168124,0 days 00:05:35.038437,63.630472165954785,55.82026806836376,36.02111983421592,-39.00662823064224,53.13154570875079,41.34351030012389,26.74423269192718,-4.26656202440256,41.341362339835825,37.79764337623629,30.270337876979617,50.50915940516234,-50.43127071645497,34.07395470261118,24.885889938711966,64.56275124091935,-6.106926805021708,24.978604221370624,,0.0,,,,,,,,COMPLETE
11,11,37.66224565741587,2026-05-19 14:32:44.691705,2026-05-19 14:38:16.905285,0 days 00:05:32.213580,12.366832120927176,67.9466285688306,42.5332541299408,-64.79583695495064,33.71926420826304,38.47123259376037,17.688094457862206,-6.367404838356109,59.99367880212249,44.765011945266764,57.04149444923543,33.28812409647948,-29.22382325554753,27.525168457845016,20.878878274803597,38.9966139417138,-17.071695496460244,32.104465223931484,,0.0,,,,,,,,COMPLETE
12,12,36.673846010595355,2026-05-19 14:38:23.085868,2026-05-19 14:43:47.768733,0 days 00:05:24.682865,46.300608756332515,45.38885221991108,52.27709463440034,-34.685618482316386,22.01518851773487,43.611227118426505,26.178664992096568,-33.80607337262317,98.3530767215716,56.76232631901458,23.51901878050502,49.97198337320791,-40.65492699200051,42.052451155250935,54.963413428669305,35.093262339582765,-10.104557560315236,35.552871940070844,,0.0,,,,,,,,COMPLETE
13,13,32.43869270224348,2026-05-19 14:43:53.837098,2026-05-19 14:49:37.624723,0 days 00:05:43.787625,50.297830533401985,59.29528999648983,70.40994076278753,-61.787206725753705,66.01153376194118,13.314846920718963,26.76700520365393,-12.332910346618178,75.14102266404822,53.06968445651794,54.06767579662225,53.13376866605423,-24.240608008221713,39.802884103841535,26.280663194787763,35.75919249883247,-20.902547194304987,22.9688370500006,,0.0,,,,,,,,COMPLETE
14,14,42.00816575867115,2026-05-19 14:49:45.403127,2026-05-19 14:56:21.034927,0 days 00:06:35.631800,68.4940852730368,24.275838230012795,57.015666482554465,-49.30703884186846,22.55904124386398,50.613198465609806,37.77407993841487,-6.540495307202946,23.11500799365175,58.734366579374466,24.428121421662976,45.848028086532715,-49.753886047899634,27.554640962742905,50.4554857292179,15.986773635443425,-9.042769350410403,16.1947514994864,,0.0,,,,,,,,COMPLETE
15,15,45.61204523271108,2026-05-19 14:56:28.642836,2026-05-19 15:02:16.937976,0 days 00:05:48.295140,47.38547424803311,41.19062355350274,38.32758081837875,-53.24052961317029,57.13451553685647,51.316413884132636,30.209605051619363,-12.056974960356513,33.034505601139585,18.017922989848138,25.493966837364052,44.7808306267839,-54.60028766955767,36.39654946143974,52.507169032422716,52.70502793155468,-40.24762773818924,40.369820679153165,,0.0,,,,,,,,COMPLETE
