,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_low.legHeight,params_low.motorDistanceCenter,params_low.pulleyRadius,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_cma:optimizer:2,system_attrs_cma:optimizer:3,system_attrs_cma:optimizer:4,system_attrs_cma:optimizer:5,system_attrs_cma:optimizer:6,state
10,10,,2026-06-16 13:19:33.554994,2026-06-16 13:19:33.788603,0 days 00:00:00.233609,45.645835617562575,55.09609095063631,64.31323292653423,-58.87393480024827,7.904074516867707,46.19880468112858,34.59649602421135,-5.090352689017749,24.943013340066997,106,82,20,40.176078522685394,46.30033688520648,34.55820954521378,-34.4716825280754,55.5487732955853,35.88808372929943,46.61787052940369,48.26029654563459,16.137772411548987,Unfeasible shape,0.0,,,,,,,,PRUNED
11,11,24.505862679532086,2026-06-16 13:19:33.897126,2026-06-16 13:19:52.901353,0 days 00:00:19.004227,75.33537961258274,38.35489030743921,41.389362842757194,-27.479188763398824,27.891427297434024,47.52045048923743,45.1073517395101,-3.4860479493672685,40.772079627725866,110,79,51,19.58294607413947,38.65495492473173,23.064705422439427,-32.44038772509629,29.93848490345576,60.147152785316166,44.898476712987794,-17.533353274450853,41.98051453057903,,0.0,,,,,,,,COMPLETE
12,12,29.077526745279286,2026-06-16 13:19:53.982562,2026-06-16 13:20:11.811267,0 days 00:00:17.828705,57.628587382425096,31.68570508649151,33.992553137716286,-40.948594743920665,74.05279165785858,41.423725664645595,65.96971994456739,-1.2912709289008006,52.38974359099792,113,81,27,38.09393503282937,79.24476859884919,63.55196386235897,-55.29590706653591,73.25474100207623,21.281794021854644,35.28636902338768,26.843054735569396,11.577990434119473,,0.0,,,,,,,,COMPLETE
13,13,109.38141810276744,2026-06-16 13:20:13.084447,2026-06-16 13:20:30.696556,0 days 00:00:17.612109,37.94708242520048,53.55655206710593,26.549897375851124,-49.521254184072916,52.74373701991767,67.15500774554613,31.681402963712113,7.571292829935658,61.708132609633395,90,98,10,47.93916576678961,15.617758046956041,42.831651391444524,-41.29945216287354,59.388054982950784,59.56352147872151,45.845281149893275,30.13415861109916,47.110557683580815,,0.0,,,,,,,,COMPLETE
14,14,,2026-06-16 13:20:31.979519,2026-06-16 13:20:32.242306,0 days 00:00:00.262787,59.642128402789155,36.128165963996025,82.74756205624524,-18.023028898428706,47.5716180826021,81.1180015615204,67.82259527345342,29.57711974584815,23.70285319253352,109,90,33,38.49823825087112,45.98063054354818,38.81362018574929,-66.50394532838996,68.88539439948394,17.086607106734427,57.32587434227618,28.018700592790374,3.66958260487982,Unfeasible shape,0.0,,,,,,,,PRUNED
15,15,,2026-06-16 13:20:32.343832,2026-06-16 13:20:32.593900,0 days 00:00:00.250068,47.45298318261472,54.151061532206135,48.092700179450105,-42.42319758307688,34.650930363466905,63.769338412239115,14.951593598645879,78.94457990279801,115.60082078065395,113,103,35,73.54783043903552,73.70900392896398,66.57464422583938,-39.31004969055451,41.23814769441878,29.132077739807393,52.96769251702995,-27.323912027737016,78.75749959202666,Unfeasible shape,0.0,,,,,,,,PRUNED
16,16,,2026-06-16 13:20:32.694031,2026-06-16 13:20:32.903793,0 days 00:00:00.209762,29.70405462367344,43.016102707379176,56.82336590434716,-43.862214929369486,51.01687627721823,52.45600486837426,71.41287161538482,53.21336134053176,57.219824186148166,100,113,33,74.47489779778236,27.766512070906426,69.51076108574925,-33.38319857896189,44.52798727458202,27.29009397444349,42.9009019528052,5.381334915844704,6.8370479804468705,Unfeasible shape,0.0,,,,,,,,PRUNED
17,17,,2026-06-16 13:20:33.008411,2026-06-16 13:20:33.230469,0 days 00:00:00.222058,34.478646652744516,69.8358703280753,57.34709861740689,-17.829711356349108,46.13262889743478,36.452803654559375,60.77194774996201,-35.391938170560735,116.3930114660841,98,114,40,90.66739938847523,26.27290761794176,43.48977613554624,-43.88731886677253,45.31321386940184,89.84245621996754,52.312423747725184,-23.646876530799638,33.672029887566374,Unfeasible shape,0.0,,,,,,,,PRUNED
18,18,120.38138328693549,2026-06-16 13:20:33.332534,2026-06-16 13:20:51.583362,0 days 00:00:18.250828,41.008600848200004,10.790778731589292,60.40909306100617,-63.14516149283637,64.05481835822417,47.66794421336305,36.32206962002592,2.2882183698352065,68.12891077429322,101,98,32,20.736887475773752,62.55112622125026,31.202725571561626,-40.05970672922581,84.53671759574574,31.461869210306602,84.02098154453671,-3.534202023998141,47.03908218913272,,0.0,,,,,,,,COMPLETE
19,19,,2026-06-16 13:20:52.790450,2026-06-16 13:20:53.035861,0 days 00:00:00.245411,34.7785706192619,30.003122200430628,35.828908576065146,-46.022810217900314,72.31586105439692,32.86298254212826,55.237335656367094,48.992585432460864,98.44186856686154,97,71,15,55.70682596385397,67.87439874176384,49.321054019489026,-49.652997209138604,57.06424079389751,60.85484211298416,77.49695323684985,21.082878436656458,12.385248520210311,Unfeasible shape,0.0,,,,,,,,PRUNED
20,20,,2026-06-16 13:20:53.152264,2026-06-16 13:20:53.388151,0 days 00:00:00.235887,56.24125883888671,80.0877667114382,37.047733940332606,-68.96977568683276,27.860916081133027,30.114043200519077,59.49470123192226,52.66399660977362,129.98426713825947,111,137,43,48.61666936169756,60.386931509432586,47.428238358031585,-53.53710792926498,69.0065463550795,40.46391441874725,58.42006871441603,107.31983065027026,72.48101538463955,Unfeasible shape,0.0,,,,,,,,PRUNED
21,21,,2026-06-16 13:20:53.496250,2026-06-16 13:20:53.746281,0 days 00:00:00.250031,45.01254875652232,56.24475547732753,59.49787964121191,-33.257917106644825,73.28207585111662,53.52248392918946,22.983654246244313,-39.12045244163005,44.89558564533048,108,105,45,66.95209243019094,38.39847579708703,58.67515029557547,-64.7146632536805,80.76625130315283,39.91773911040517,31.948130425251534,-33.49597473325046,15.286663268693326,Unfeasible shape,0.0,,,,,,,,PRUNED
