,number,value,datetime_start,datetime_complete,duration,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
0,0,8.785771582134451,2026-05-11 23:32:55.903406,2026-05-11 23:33:15.244810,0 days 00:00:19.341404,-76.22931816877922,64.43187096526495,90.60592667419263,45.372681456409246,14.876163676395112,37.74393111315933,-34.437582148787335,11.315003942289787,86.55423506699053,59.34448763507074,44.3720075221417,70.24947783763838,,,COMPLETE
1,1,140.0,2026-05-11 23:33:16.916146,2026-05-11 23:33:17.516436,0 days 00:00:00.600290,-53.41999292912521,41.255629765611644,61.7928342956027,69.04580622966932,40.5616953166896,57.570508614078726,-55.6844954681641,44.435781154096546,57.917546946088194,60.06878345810166,45.80665861655802,31.833288396607085,Unfeasible shape,0.0,PRUNED
2,2,140.0,2026-05-11 23:33:17.632544,2026-05-11 23:33:17.897513,0 days 00:00:00.264969,-70.90743044540807,50.40121540904946,51.320482926031566,14.6793835348342,45.409433921684375,36.134338842538746,-50.08671859168955,45.060526658175846,51.23298307988551,55.869875937998394,60.886280434780375,39.40093056727095,Unfeasible shape,0.0,PRUNED
3,3,8.758307728012596,2026-05-11 23:33:18.045355,2026-05-11 23:33:32.551018,0 days 00:00:14.505663,-42.65236522862986,22.673035717237237,92.1295836062468,41.84044264081083,32.57145514717636,52.92714663584065,-49.99007048831451,52.23259900991729,94.11882336631119,46.00775674557276,24.698227409517347,33.621716909972314,,0.0,COMPLETE
4,4,8.782974877200878,2026-05-11 23:33:34.053623,2026-05-11 23:33:46.793922,0 days 00:00:12.740299,-64.09605466016413,63.03788526222069,59.21096999782483,42.44611778996149,33.96911713986688,50.07964601875561,-75.28049251853055,77.1824664087518,93.55355236612819,56.29327159863031,7.3493197918418325,34.14334854307608,,0.0,COMPLETE
