,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
17,17,6.0,2026-04-22 12:37:07.453600,2026-04-22 12:37:07.524574,0 days 00:00:00.070974,-66.69417994935706,65.25991156711181,65.8826770797294,55.02686004874413,25.082655175993267,58.96328944650365,-59.27877542024646,74.41190712839905,94.61927626510138,29.843844214224585,-8.320523937537086,38.154195264840176,Unfeasible shape,RandomSampler,PRUNED
18,18,6.0,2026-04-22 12:37:07.647199,2026-04-22 12:37:07.714275,0 days 00:00:00.067076,-32.07442898914657,15.9643760276496,65.7076506028848,19.3939142871031,43.15412146440047,12.359407570690884,-72.94763656988941,93.09749589503767,65.23454401711714,93.36818027852327,-24.87472677203538,41.66778017243726,Unfeasible shape,RandomSampler,PRUNED
19,19,6.0,2026-04-22 12:37:07.838835,2026-04-22 12:37:07.903016,0 days 00:00:00.064181,-35.770344321231725,47.59181851583298,32.574627311764274,35.17971106120753,24.001152168672533,48.4912528876866,-32.61397958490191,56.30113564121673,67.16838333645386,27.060188574086858,-10.788688980184727,28.73425134436087,Unfeasible shape,RandomSampler,PRUNED
20,20,6.0,2026-04-22 12:37:08.032421,2026-04-22 12:37:08.113469,0 days 00:00:00.081048,-57.23973373173608,76.36898451942297,94.73899146231875,34.61720130592698,57.12251953729164,43.21622534542013,-59.0631212417164,61.66454065715845,39.38318963966659,71.5730066153381,15.381526630301153,34.547459681016655,Unfeasible shape,RandomSampler,PRUNED
21,21,6.0,2026-04-22 12:37:08.243802,2026-04-22 12:37:08.300546,0 days 00:00:00.056744,-77.54398348151594,49.96258892157564,94.91095604209455,29.849253719195183,-1.8152811026539446,-29.67200885651709,-79.24810754471515,46.5908477519582,19.098317523683704,82.80607971484244,-17.156362703301426,14.102974851561683,Unfeasible shape,RandomSampler,PRUNED
22,22,6.0,2026-04-22 12:37:08.436557,2026-04-22 12:37:08.519160,0 days 00:00:00.082603,-20.352644511413544,38.45680517555839,26.489549275749052,84.0711596372512,18.822600284577497,50.34559047838371,-36.61733209419572,48.26772461948641,42.88972306843341,15.893529968908425,-7.684134052347449,49.3007776805872,Unfeasible shape,RandomSampler,PRUNED
23,23,6.0,2026-04-22 12:37:08.656012,2026-04-22 12:37:08.709002,0 days 00:00:00.052990,-24.906641791934995,69.46498980389158,52.799013971393954,54.547237061102045,20.135912467903367,-11.808158761894337,-33.12010765122875,53.46176413625096,40.150551175278906,94.76735918513535,-7.170114856110455,25.7100138456672,Unfeasible shape,RandomSampler,PRUNED
24,24,6.0,2026-04-22 12:37:08.822835,2026-04-22 12:37:08.897229,0 days 00:00:00.074394,-36.584025844922586,13.468771294339525,72.31994097743981,36.416544430711255,-9.253665596224142,2.2899287615360464,-77.96749995465251,46.66605691831827,61.40012810235296,88.02324300578891,14.208097012991928,3.994819088681556,Unfeasible shape,RandomSampler,PRUNED
25,25,6.0,2026-04-22 12:37:09.037242,2026-04-22 12:37:09.099646,0 days 00:00:00.062404,-23.55985922032852,39.91021945104288,33.865422442976566,77.9848827040406,-5.857186667859188,20.695897080863602,-64.59719306231403,78.69080261224767,91.70166846111755,55.09889386601128,-18.821087163736202,33.39691551793893,Unfeasible shape,RandomSampler,PRUNED
26,26,6.0,2026-04-22 12:37:09.218461,2026-04-22 12:37:09.297475,0 days 00:00:00.079014,-47.330613252845474,31.612457498471304,86.47874733496344,28.1325776398286,-0.04429913044772249,44.50293991331867,-27.769940956493798,34.4915189270179,70.54583532868335,84.70771432197799,9.19689471542852,5.5381571086057,Unfeasible shape,RandomSampler,PRUNED
27,27,6.0,2026-04-22 12:37:09.464479,2026-04-22 12:37:09.516661,0 days 00:00:00.052182,-48.55404729571798,21.151322531831493,70.77038262256602,26.35692514036823,50.60774161319632,-19.158378190010772,-44.594374302245996,62.62644457170004,67.1945909544393,37.02189458643366,0.19409068350840641,15.178040566368193,Unfeasible shape,RandomSampler,PRUNED
28,28,5.760203796159637,2026-04-22 12:37:09.649058,2026-04-22 12:37:15.287204,0 days 00:00:05.638146,-61.59361484225691,53.0399037840799,40.43802610373592,57.93107880902946,14.923228388458366,30.24015724582759,-28.604718743570835,66.39116611852393,33.38861105579737,60.904012313728614,6.036983424249399,40.721464422037435,Unattained target,RandomSampler,PRUNED
29,29,6.0,2026-04-22 12:37:15.427492,2026-04-22 12:37:15.488529,0 days 00:00:00.061037,-26.37726192473413,11.900686566153887,18.091323364210474,65.27597921943497,24.40780711769458,-18.22010911391401,-38.9034140907132,37.94203851944764,80.38685666334015,68.02002476577528,-29.543969030167062,-8.828629534067293,Unfeasible shape,RandomSampler,PRUNED
30,30,6.0,2026-04-22 12:37:15.624139,2026-04-22 12:37:15.703948,0 days 00:00:00.079809,-34.10351100251663,35.47820656743928,96.98617294480229,54.82268181980203,43.201111083018006,30.542195028641224,-68.09280349451164,65.59391094305553,44.0438435932567,43.05675755773728,19.77093471776692,57.964341948030935,Unfeasible shape,RandomSampler,PRUNED
31,31,6.0,2026-04-22 12:37:15.873085,2026-04-22 12:37:15.970833,0 days 00:00:00.097748,-67.23814506276223,68.28065269860703,79.68163623933846,66.60228425719947,4.306572189797093,-24.11476999022189,-51.38800787479726,10.934718909849634,78.09533217155557,16.024211717338478,-16.187228400597316,51.66861786348167,Unfeasible shape,RandomSampler,PRUNED
32,32,6.0,2026-04-22 12:37:16.102279,2026-04-22 12:37:16.193092,0 days 00:00:00.090813,-21.693217001078082,86.20376217147162,81.9400148853406,93.3294846531223,2.77819759927117,32.071973886653694,-78.801189398109,32.914902015476116,72.68830003432643,18.790936787898694,19.859601374779558,33.12909223910941,Unfeasible shape,RandomSampler,PRUNED
33,33,6.0,2026-04-22 12:37:16.329836,2026-04-22 12:37:16.412343,0 days 00:00:00.082507,-33.62343979331448,73.22900397809501,39.88677966590326,80.81386609532989,5.419296716283894,30.613025052630654,-20.70131007151207,63.24048336696533,66.64485241986603,59.95621029594665,-19.533990201966034,56.588546985971874,Unfeasible shape,RandomSampler,PRUNED
34,34,6.0,2026-04-22 12:37:16.549555,2026-04-22 12:37:16.614308,0 days 00:00:00.064753,-33.55417426838813,26.137980181148198,54.49275083784214,83.39746312733305,-6.706528347660264,-7.043892166848281,-54.859273892690645,24.283594875324567,53.67926230664864,26.969080004445914,5.362324142197117,55.14076822484229,Unfeasible shape,RandomSampler,PRUNED
35,35,6.0,2026-04-22 12:37:16.732421,2026-04-22 12:37:16.828829,0 days 00:00:00.096408,-36.51032895156259,96.23760329666504,95.06491625852269,43.103058111193064,38.27328861702725,57.94406274546213,-23.411846208681162,61.78835174208375,16.11497998652799,33.86853987157275,11.325250677386514,15.724027300366117,Unfeasible shape,RandomSampler,PRUNED
36,36,6.0,2026-04-22 12:37:16.965452,2026-04-22 12:37:17.036114,0 days 00:00:00.070662,-69.02981434487856,64.41423209999499,51.298749818895324,30.689590129940772,39.427688025186754,4.071716413241198,-71.91310737861832,87.95450285875694,31.746380755134137,24.56587885034554,7.930091239076511,0.5075664490682374,Unfeasible shape,RandomSampler,PRUNED
37,37,6.0,2026-04-22 12:37:17.160281,2026-04-22 12:37:17.250710,0 days 00:00:00.090429,-41.341929746792246,67.60281520730403,23.192138929311138,57.9871950737213,-5.839947446690377,43.330663340526485,-48.41454581498939,27.21310102410491,81.01455698424955,12.730889648301247,-9.310341172264128,41.82346501876193,Unfeasible shape,RandomSampler,PRUNED
38,38,6.0,2026-04-22 12:37:17.411985,2026-04-22 12:37:17.483010,0 days 00:00:00.071025,-23.22400721138444,40.29520236404001,21.310577351723783,34.11761131997143,-9.709911014799568,20.317325322987102,-71.71297338618933,84.08542970150717,77.13648800113211,55.57778468961936,-16.587847786842016,61.007952886411545,Unfeasible shape,RandomSampler,PRUNED
39,39,6.0,2026-04-22 12:37:17.615319,2026-04-22 12:37:17.677497,0 days 00:00:00.062178,-22.98713414457894,85.26484471345985,64.66541049880767,31.07882865265601,17.137976352185884,-6.797177479267614,-41.26397522068696,53.728380416594796,87.43635695864565,60.72930809736895,-3.135528398933136,50.5132695222086,Unfeasible shape,RandomSampler,PRUNED
40,40,6.0,2026-04-22 12:37:17.838724,2026-04-22 12:37:17.888694,0 days 00:00:00.049970,-40.64649166472398,55.15933591554468,99.01333051370332,60.657620143645794,6.277978671594454,38.9916008762938,-34.637198730663755,93.83584510785566,24.545628417459362,91.03265635950174,6.034739171315557,54.07754651737413,Unfeasible shape,RandomSampler,PRUNED
41,41,6.0,2026-04-22 12:37:18.019757,2026-04-22 12:37:18.076210,0 days 00:00:00.056453,-49.70444466191076,69.38805462162152,60.73597660916391,33.96763456007193,48.37871918876556,8.568104436026388,-28.56085776250663,39.77793717292209,79.30872928891004,19.55918396919687,19.45118871949122,59.10246008919793,Unfeasible shape,RandomSampler,PRUNED
42,42,6.0,2026-04-22 12:37:18.205892,2026-04-22 12:37:18.263552,0 days 00:00:00.057660,-40.50749523181432,56.114293806250224,95.7571571895951,65.09219768350744,1.0920584093083736,-6.893124073701841,-62.45213412613536,44.54026592589915,51.13969947818282,93.56109365273954,-4.614428879491552,48.74600119913451,Unfeasible shape,RandomSampler,PRUNED
43,43,6.0,2026-04-22 12:37:18.406724,2026-04-22 12:37:18.503767,0 days 00:00:00.097043,-70.4595242990971,18.64371033656934,28.40915535373799,77.51584955440366,36.2348363991513,53.40694064441497,-64.65477935077092,56.02849603343962,85.08478816609596,59.4081438003675,4.869957451074605,43.61806888287306,Unfeasible shape,RandomSampler,PRUNED
44,44,6.0,2026-04-22 12:37:18.605203,2026-04-22 12:37:18.667970,0 days 00:00:00.062767,-27.003463393928868,79.8425378450335,56.869408912724865,78.66244614149042,15.507837862246195,-17.006286396618535,-78.46681979805587,90.20103653317602,89.02025924840802,80.86876135434854,10.302202557071496,38.08805975136358,Unfeasible shape,RandomSampler,PRUNED
45,45,6.0,2026-04-22 12:37:18.835389,2026-04-22 12:37:18.899698,0 days 00:00:00.064309,-41.47351991702164,46.36429046654459,76.39333775034977,96.15255845364362,19.932033453227632,-0.2148355595973932,-79.9585274018478,87.16825402401962,13.408484072340936,24.79478432199218,-2.160561896488762,19.646047110986387,Unfeasible shape,RandomSampler,PRUNED
46,46,6.0,2026-04-22 12:37:19.028182,2026-04-22 12:37:19.078371,0 days 00:00:00.050189,-38.62368023680871,36.14703994944105,49.61604054288483,73.41388954767503,27.345869899400178,7.812895309362801,-38.227563424490086,55.540601758368325,32.14041478693912,76.4308028345897,19.16187931226566,59.05874476651111,Unfeasible shape,RandomSampler,PRUNED
47,47,6.0,2026-04-22 12:37:19.235810,2026-04-22 12:37:19.311847,0 days 00:00:00.076037,-55.776712668318055,45.18856626849043,45.767402995724666,26.47216205350874,39.906478921519685,51.68361323859867,-70.17968572130697,25.67102623021013,84.40036919686573,14.687529298739769,13.362064116398166,55.664193268842595,Unfeasible shape,RandomSampler,PRUNED
48,48,6.0,2026-04-22 12:37:19.446284,2026-04-22 12:37:19.509201,0 days 00:00:00.062917,-52.91542669982434,87.29172309789638,92.96239463386071,76.14776577722901,35.41367898495209,4.902904926734358,-20.558924118672955,17.47746948945885,87.93533573608883,95.83151604239015,-25.400102332945146,57.85794196930672,Unfeasible shape,RandomSampler,PRUNED
49,49,6.0,2026-04-22 12:37:19.654542,2026-04-22 12:37:19.715291,0 days 00:00:00.060749,-28.87417898057751,58.76548399722813,12.690463882317225,39.71131588462531,19.100916693861222,-19.011859443701596,-22.9714901364735,55.182397144362646,52.44244674641662,59.13713544698932,3.8431423300369687,-9.801489928266255,Unfeasible shape,RandomSampler,PRUNED
50,50,6.0,2026-04-22 12:37:19.845465,2026-04-22 12:37:19.930569,0 days 00:00:00.085104,-26.86296513378487,72.32356086988796,64.61405511676455,93.17538436781797,51.46452335760727,25.27907764473874,-50.148016153936055,10.176846588056772,60.603610453497645,87.5506514749422,10.8279277778866,43.5791890374733,Unfeasible shape,RandomSampler,PRUNED
51,51,6.0,2026-04-22 12:37:20.083450,2026-04-22 12:37:20.148178,0 days 00:00:00.064728,-22.843080780139417,29.57787816691649,17.613517769575367,52.161740216255,37.669000391687575,54.89411592193986,-79.75458826589302,76.7194171232396,46.79975280952218,14.289307928479536,-12.806622461891262,25.71726155047466,Unfeasible shape,RandomSampler,PRUNED
52,52,6.0,2026-04-22 12:37:20.264555,2026-04-22 12:37:20.339541,0 days 00:00:00.074986,-42.11205732086705,21.693898736908668,76.16571972867635,45.29269756316706,-2.3552694128254306,-12.233516110015547,-68.24163440291156,51.91283505337554,41.20303495426205,27.044463701414635,-22.959792522034533,-7.543115078688809,Unfeasible shape,RandomSampler,PRUNED
53,53,6.0,2026-04-22 12:37:20.473875,2026-04-22 12:37:20.524599,0 days 00:00:00.050724,-60.71584437905338,70.34697482893036,26.37315299973545,50.52244864784599,1.4159771391869498,47.98346549290709,-54.66317589290372,50.033968625754746,48.453767727318805,97.25080316942574,-29.31112433190934,-8.699354920163191,Unfeasible shape,RandomSampler,PRUNED
54,54,6.0,2026-04-22 12:37:20.656665,2026-04-22 12:37:20.702960,0 days 00:00:00.046295,-35.49325266817657,65.47410779538353,61.51829634707019,56.45019366086804,23.512617184217774,-1.9568030720510592,-38.754463382133515,86.3195819712421,53.1944809208198,20.008314829753097,-13.625720961033323,18.318505927905225,Unfeasible shape,RandomSampler,PRUNED
55,55,6.0,2026-04-22 12:37:20.846806,2026-04-22 12:37:20.910477,0 days 00:00:00.063671,-42.04657504421763,49.51241151815789,14.705463276405586,68.9286848724326,37.63372311013359,51.289305851480634,-74.51998690520574,23.153546156208428,49.111211471126246,83.5611968861894,-15.157370511803144,-2.3666094959506108,Unfeasible shape,RandomSampler,PRUNED
56,56,6.0,2026-04-22 12:37:21.072484,2026-04-22 12:37:21.132992,0 days 00:00:00.060508,-31.96297057430276,96.65139687971697,98.37616727098333,36.16831244484152,13.60645817020136,-11.948255025074833,-73.67854949937636,37.54030090849071,18.580417785603665,95.82480041861028,-17.680892736243905,32.44083278651277,Unfeasible shape,RandomSampler,PRUNED
57,57,6.0,2026-04-22 12:37:21.240588,2026-04-22 12:37:21.345806,0 days 00:00:00.105218,-77.64716153477089,93.7087942972114,72.18554374505666,49.460463634085144,43.70914574727957,-11.99839411458235,-24.31968986630808,35.27770420058224,59.19609374885069,78.08403350161298,0.8632567369170481,18.112789081509383,Unfeasible shape,RandomSampler,PRUNED
58,58,6.0,2026-04-22 12:37:21.451014,2026-04-22 12:37:21.561999,0 days 00:00:00.110985,-40.847095093141704,14.525321008416356,14.231176559394275,99.46874226611159,13.871960126516623,18.985664746630476,-77.58602830137076,89.67119901640484,88.59168016179072,97.54359943470486,15.860426547756425,19.229572668904957,Unfeasible shape,RandomSampler,PRUNED
59,59,27.63362892359521,2026-04-22 12:37:21.714875,2026-04-22 12:37:27.690732,0 days 00:00:05.975857,-50.23636407590004,49.3161836010555,41.92640574417326,43.93156671175012,41.70844854802638,-24.11420993199236,-32.07693396907294,69.77293439725517,42.61771290042953,28.518884115187483,12.121166231090534,33.93667007408524,Unattained target,RandomSampler,PRUNED
60,60,6.0,2026-04-22 12:37:27.820431,2026-04-22 12:37:27.891144,0 days 00:00:00.070713,-22.56877974425867,95.74965395594778,13.672264352184877,71.70073268590932,5.2788104723265015,32.069973843507555,-61.94342451743418,35.50431246076738,34.82039108966497,30.218837526637373,9.117140411655498,33.78949938597953,Unfeasible shape,RandomSampler,PRUNED
61,61,6.0,2026-04-22 12:37:28.025224,2026-04-22 12:37:28.109193,0 days 00:00:00.083969,-48.48574174281711,18.863590769667127,20.024545120308424,40.941678580511336,-2.13906331582878,46.669420640405775,-20.19793979485305,89.7198537866379,17.492325672369482,73.138030856148,-17.723061626004146,-2.794892029120967,Unfeasible shape,RandomSampler,PRUNED
62,62,6.0,2026-04-22 12:37:28.231035,2026-04-22 12:37:28.314382,0 days 00:00:00.083347,-46.289082382786965,98.68877790868196,73.4143154704378,57.22562563448569,36.10250091029761,39.005683202023064,-78.00672911404821,59.037881241379715,92.0285616451516,86.93586595154648,-24.86068692334994,47.56324656935466,Unfeasible shape,RandomSampler,PRUNED
63,63,6.0,2026-04-22 12:37:28.446192,2026-04-22 12:37:28.521831,0 days 00:00:00.075639,-41.2428771337077,55.951176316260984,17.87364988453247,92.23581788030481,52.300847789421205,43.524505212891114,-37.14831685132455,64.20294005549357,69.78744417611694,15.215025751082448,-13.009230676746999,22.322766708241296,Unfeasible shape,RandomSampler,PRUNED
64,64,6.0,2026-04-22 12:37:28.643153,2026-04-22 12:37:28.706653,0 days 00:00:00.063500,-69.57620570091667,44.136924109546506,52.39356134628109,26.221507162481142,18.97285864714642,56.66845905790443,-26.765605281059905,90.44017741027488,39.55712553240173,31.13288289666333,8.011787078769757,39.519180521439964,Unfeasible shape,RandomSampler,PRUNED
65,65,6.0,2026-04-22 12:37:28.849282,2026-04-22 12:37:28.892326,0 days 00:00:00.043044,-48.958122683100584,86.78454193021288,95.4131416921415,68.11733009048942,27.624448304560637,25.749759193554638,-24.243460478205876,36.22151663704183,41.47532505025037,75.98781810585841,1.785486135192187,0.564357930787903,Unfeasible shape,RandomSampler,PRUNED
66,66,6.0,2026-04-22 12:37:29.043563,2026-04-22 12:37:29.124551,0 days 00:00:00.080988,-38.83776409976516,80.33263584999565,68.68679694391103,59.44389384814769,46.44582595872301,-14.527619077051954,-52.113502091505424,61.11703571178519,43.412915261445036,85.07666641678139,-17.52148164539048,34.597765385863525,Unfeasible shape,RandomSampler,PRUNED
67,67,6.0,2026-04-22 12:37:29.255472,2026-04-22 12:37:29.357139,0 days 00:00:00.101667,-41.514949870890526,77.61866239037515,60.539520630993565,57.19305384547572,16.17421936247026,35.59714982742848,-78.19275654413018,89.41485523357245,45.989492313398316,64.00967223171509,13.7679525295408,16.44182780253414,Unfeasible shape,RandomSampler,PRUNED
