,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_low.legHeight,params_low.motorDistanceCenter,params_low.pulleyRadius,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_cma:optimizer:2,system_attrs_cma:optimizer:3,system_attrs_cma:optimizer:4,system_attrs_cma:optimizer:5,system_attrs_cma:optimizer:6,state
0,0,,2026-06-16 13:28:43.298795,2026-06-16 13:28:44.510563,0 days 00:00:01.211768,22.02157195714934,19.15704647548995,61.573436577515565,-50.44439850863074,83.41182143924175,19.00067175350296,29.83168487960615,5.633908032000029,65.59455395402973,95,146,47,16.445845403801215,6.750277604651747,97.02107536403744,-28.354193776316365,60.26718993550662,16.443457513284063,3.0378649352844422,102.84847321906378,39.072475763308574,Unfeasible shape,,,,,,,,,PRUNED
1,1,,2026-06-16 13:28:44.617981,2026-06-16 13:28:44.885499,0 days 00:00:00.267518,1.0,1.0,1.0,-85.0,1.0,1.0,1.0,1.6857859414087262,0.0,80,50,10,1.0,1.0,1.0,-85.0,1.0,1.0,1.0,-4.420245573918327,0.0,Unfeasible shape,,,,,,,,,PRUNED
2,2,22.31620255111728,2026-06-16 13:28:44.985038,2026-06-16 13:29:09.821646,0 days 00:00:24.836608,50.5,50.5,50.5,-45.0,50.5,50.5,50.5,39.5,62.5,100,100,35,50.5,50.5,50.5,-45.0,50.5,50.5,50.5,39.5,32.5,,,,,,,,,,COMPLETE
3,3,,2026-06-16 13:29:11.122872,2026-06-16 13:29:11.387813,0 days 00:00:00.264941,25.75,25.75,25.75,-25.0,25.75,75.25,25.75,13.117388784711764,31.25,110,75,22,75.25,25.75,75.25,-25.0,25.75,75.25,75.25,6.20986193361426,48.75,Unfeasible shape,,,,,,,,,PRUNED
4,4,106.4638127324518,2026-06-16 13:29:11.505358,2026-06-16 13:29:31.407983,0 days 00:00:19.902625,75.25,75.25,75.25,-65.0,75.25,25.75,75.25,-3.75,93.75,90,125,48,25.75,75.25,25.75,-65.0,75.25,25.75,25.75,-3.75,16.25,,,,,,,,,,COMPLETE
5,5,,2026-06-16 13:29:32.982967,2026-06-16 13:29:33.301561,0 days 00:00:00.318594,62.875,87.625,13.375,-15.0,38.125,38.125,13.375,17.875,109.375,95,87,41,38.125,38.125,38.125,-35.0,87.625,13.375,87.625,43.79900383044547,56.875,Unfeasible shape,,,,,,,,,PRUNED
6,6,,2026-06-16 13:29:33.417091,2026-06-16 13:29:33.707673,0 days 00:00:00.290582,13.375,38.125,62.875,-55.0,87.625,87.625,62.875,104.375,46.875,115,138,16,87.625,87.625,87.625,-75.0,38.125,62.875,38.125,17.875,24.375,Unfeasible shape,,,,,,,,,PRUNED
7,7,,2026-06-16 13:29:33.823208,2026-06-16 13:29:34.058119,0 days 00:00:00.234911,84.58204819756945,29.931394447431508,72.30030528418379,-48.65728116582973,61.48892639175766,81.60914407031783,50.82960382467416,66.74715791178531,73.6349935562355,93,124,35,67.07157127225159,72.30302845748464,44.166213556680084,-29.51427535111867,33.27759143333309,67.35090278251067,27.037134907604568,17.061076519783384,59.89500130382472,Unfeasible shape,0.0,,,,,,,,PRUNED
8,8,,2026-06-16 13:29:34.188175,2026-06-16 13:29:34.547777,0 days 00:00:00.359602,30.00933963068566,42.217923131485186,78.91206796629015,-59.26281563218716,40.88910837224954,52.555684720811676,60.251341502094625,-36.94672574136665,109.13819436764183,96,65,42,35.27437211142737,31.524064512119676,41.887331894037544,-64.0075571572793,57.33326749810009,63.2333637870431,61.675854673128136,-28.426378281508022,10.295638342189374,Unfeasible shape,0.0,,,,,,,,PRUNED
9,9,,2026-06-16 13:29:34.662100,2026-06-16 13:29:34.963235,0 days 00:00:00.301135,56.07110662089974,61.398101038068965,24.574774725528712,-35.93106910563313,19.49826047555382,49.474519192847765,65.03410292817046,-27.250317984856792,139.6670187113272,114,76,29,54.48617412911827,38.80622522644833,59.48372961608923,-56.84805099068015,25.31877491392966,53.79229421591604,36.34743166001199,22.09477599817275,59.478096534867824,Unfeasible shape,0.0,,,,,,,,PRUNED
10,10,,2026-06-16 13:29:35.086775,2026-06-16 13:29:35.346851,0 days 00:00:00.260076,45.645835617562575,55.09609095063631,64.31323292653423,-58.87393480024827,7.904074516867707,46.19880468112858,34.59649602421135,-5.090352689017749,24.943013340066997,106,82,20,40.176078522685394,46.30033688520648,34.55820954521378,-34.4716825280754,55.5487732955853,35.88808372929943,46.61787052940369,48.26029654563459,16.137772411548987,Unfeasible shape,0.0,,,,,,,,PRUNED
11,11,24.50586260307806,2026-06-16 13:29:35.483927,2026-06-16 13:29:57.488986,0 days 00:00:22.005059,75.33537961258274,38.35489030743921,41.389362842757194,-27.479188763398824,27.891427297434024,47.52045048923743,45.1073517395101,-3.4860479493672685,40.772079627725866,110,79,51,19.58294607413947,38.65495492473173,23.064705422439427,-32.44038772509629,29.93848490345576,60.147152785316166,44.898476712987794,-17.533353274450853,41.98051453057903,,0.0,,,,,,,,COMPLETE
12,12,29.077526784109164,2026-06-16 13:29:58.739117,2026-06-16 13:30:19.359116,0 days 00:00:20.619999,57.628587382425096,31.68570508649151,33.992553137716286,-40.948594743920665,74.05279165785858,41.423725664645595,65.96971994456739,-1.2912709289008006,52.38974359099792,113,81,27,38.09393503282937,79.24476859884919,63.55196386235897,-55.29590706653591,73.25474100207623,21.281794021854644,35.28636902338768,26.843054735569396,11.577990434119473,,0.0,,,,,,,,COMPLETE
13,13,109.38141791589126,2026-06-16 13:30:20.737356,2026-06-16 13:30:40.593352,0 days 00:00:19.855996,37.94708242520048,53.55655206710593,26.549897375851124,-49.521254184072916,52.74373701991767,67.15500774554613,31.681402963712113,7.571292829935658,61.708132609633395,90,98,10,47.93916576678961,15.617758046956041,42.831651391444524,-41.29945216287354,59.388054982950784,59.56352147872151,45.845281149893275,30.13415861109916,47.110557683580815,,0.0,,,,,,,,COMPLETE
14,14,,2026-06-16 13:30:42.155481,2026-06-16 13:30:42.458982,0 days 00:00:00.303501,59.642128402789155,36.128165963996025,82.74756205624524,-18.023028898428706,47.5716180826021,81.1180015615204,67.82259527345342,29.57711974584815,23.70285319253352,109,90,33,38.49823825087112,45.98063054354818,38.81362018574929,-66.50394532838996,68.88539439948394,17.086607106734427,57.32587434227618,28.018700592790374,3.66958260487982,Unfeasible shape,0.0,,,,,,,,PRUNED
15,15,,2026-06-16 13:30:42.580523,2026-06-16 13:30:42.922510,0 days 00:00:00.341987,47.45298318261472,54.151061532206135,48.092700179450105,-42.42319758307688,34.650930363466905,63.769338412239115,14.951593598645879,78.94457990279801,115.60082078065395,113,103,35,73.54783043903552,73.70900392896398,66.57464422583938,-39.31004969055451,41.23814769441878,29.132077739807393,52.96769251702995,-27.323912027737016,78.75749959202666,Unfeasible shape,0.0,,,,,,,,PRUNED
16,16,,2026-06-16 13:30:43.067281,2026-06-16 13:30:43.305853,0 days 00:00:00.238572,29.70405462367344,43.016102707379176,56.82336590434716,-43.862214929369486,51.01687627721823,52.45600486837426,71.41287161538482,53.21336134053176,57.219824186148166,100,113,33,74.47489779778236,27.766512070906426,69.51076108574925,-33.38319857896189,44.52798727458202,27.29009397444349,42.9009019528052,5.381334915844704,6.8370479804468705,Unfeasible shape,0.0,,,,,,,,PRUNED
17,17,,2026-06-16 13:30:43.435767,2026-06-16 13:30:43.704523,0 days 00:00:00.268756,34.478646652744516,69.8358703280753,57.34709861740689,-17.829711356349108,46.13262889743478,36.452803654559375,60.77194774996201,-35.391938170560735,116.3930114660841,98,114,40,90.66739938847523,26.27290761794176,43.48977613554624,-43.88731886677253,45.31321386940184,89.84245621996754,52.312423747725184,-23.646876530799638,33.672029887566374,Unfeasible shape,0.0,,,,,,,,PRUNED
18,18,120.38138384286822,2026-06-16 13:30:43.843524,2026-06-16 13:31:05.355155,0 days 00:00:21.511631,41.008600848200004,10.790778731589292,60.40909306100617,-63.14516149283637,64.05481835822417,47.66794421336305,36.32206962002592,2.2882183698352065,68.12891077429322,101,98,32,20.736887475773752,62.55112622125026,31.202725571561626,-40.05970672922581,84.53671759574574,31.461869210306602,84.02098154453671,-3.534202023998141,47.03908218913272,,0.0,,,,,,,,COMPLETE
19,19,,2026-06-16 13:31:06.716621,2026-06-16 13:31:06.992765,0 days 00:00:00.276144,34.7785706192619,30.003122200430628,35.828908576065146,-46.022810217900314,72.31586105439692,32.86298254212826,55.237335656367094,48.992585432460864,98.44186856686154,97,71,15,55.70682596385397,67.87439874176384,49.321054019489026,-49.652997209138604,57.06424079389751,60.85484211298416,77.49695323684985,21.082878436656458,12.385248520210311,Unfeasible shape,0.0,,,,,,,,PRUNED
20,20,,2026-06-16 13:31:07.128269,2026-06-16 13:31:07.375787,0 days 00:00:00.247518,56.24125883888671,80.0877667114382,37.047733940332606,-68.96977568683276,27.860916081133027,30.114043200519077,59.49470123192226,52.66399660977362,129.98426713825947,111,137,43,48.61666936169756,60.386931509432586,47.428238358031585,-53.53710792926498,69.0065463550795,40.46391441874725,58.42006871441603,107.31983065027026,72.48101538463955,Unfeasible shape,0.0,,,,,,,,PRUNED
21,21,,2026-06-16 13:31:07.499398,2026-06-16 13:31:07.826547,0 days 00:00:00.327149,45.01254875652232,56.24475547732753,59.49787964121191,-33.257917106644825,73.28207585111662,53.52248392918946,22.983654246244313,-39.12045244163005,44.89558564533048,108,105,45,66.95209243019094,38.39847579708703,58.67515029557547,-64.7146632536805,80.76625130315283,39.91773911040517,31.948130425251534,-33.49597473325046,15.286663268693326,Unfeasible shape,0.0,,,,,,,,PRUNED
22,22,,2026-06-16 13:31:07.972169,2026-06-16 13:31:08.249138,0 days 00:00:00.276969,20.14325458117892,46.301484344686045,76.85141852169238,-38.79198655292704,67.65978193726438,42.496897472936375,54.98364387725081,40.017438460952576,47.448192450247376,103,78,47,51.676899242384565,48.35071178420112,41.23833719505501,-32.46222783627885,51.8500477618211,34.737573047439085,57.28679559054762,-6.188884582604388,19.808479319494403,Unfeasible shape,0.0,,,,,,,,PRUNED
