,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegMotor,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,params_sLegPulley,user_attrs_prune,system_attrs_auto,sampler,state,,,,,
70,70,0.2024578615610899,2026-01-30 17,30,19.644094,2026-01-30 17,30,25.005617,0 days 00,0,05.361523,70.11436410202131,36.56198421011429,15.810839786207847,-67.64496831317328,99.47753126812881,18.922851979824106,87.70399809523559,44.36675389958433,23.45684184797182,70.0,68.15029782375954,32.02364660792949,18.898028824909648,-53.929510207994596,81.60580187587118,27.295875597245832,24.09894407745085,41.89572843506098,23.05411106616539,5.0,,RandomSampler,COMPLETE
31,31,2.3406166884984714,2026-01-30 17,35,21.546931,2026-01-30 17,35,27.006307,0 days 00,0,05.459376,92.4943301470473,58.65380272532464,17.742432193256043,-69.18879041066526,50.65278206808541,39.1913125258329,20.495958203902063,35.650025167130856,28.29549686352201,70.0,10.791331005372877,15.080719358121787,90.47480983189195,-24.54868694492197,15.769917793747405,28.027518436024643,10.024646204347599,35.82016423117624,23.38008370582728,10.0,,RandomSampler,COMPLETE
85,85,0.3510082413062179,2026-04-10 11:27:42.148291,2026-04-10 11:27:49.112682,0 days 00:00:06.964391,69.59748292371175,51.718478548068184,45.37682544695315,-61.80166396941959,58.174265015551455,56.932442399241594,45.58723328572526,41.26041885296796,17.923660693290365,36.411075410676666,30.580267667153663,16.5093550591724,-73.13670110102352,38.76876604212832,40.974637133243085,99.17910993955005,33.52305104301544,29.52252054361881,,RandomSampler,COMPLETE
17,17,4.696626793399204,2026-04-13 10:02:09.686358,2026-04-13 10:02:20.778052,0 days 00:00:11.091694,82.6839463576117,16.179944823218527,99.73018340606531,-78.04324635495776,39.119141048341355,67.10222422075279,54.98201009814252,36.91992560742542,14.04026776426499,52.664645214807386,20.956389035389194,18.909257046903633,-76.8178163646915,56.82467193404792,24.306113368163714,75.13766550177965,49.560970355837696,28.392631548611103,,RandomSampler,COMPLETE
35,35,0.8332256437844023,2026-04-13 10:06:26.994305,2026-04-13 10:07:01.814012,0 days 00:00:34.819707,15.80605292287393,94.2664999096573,10.284325458011223,-32.07546107939892,87.31869060530562,45.48681896856069,18.62171900740948,37.76537089676769,14.079955876623394,95.06269001046006,98.96658924381302,20.52438620278373,-78.83837152940598,92.4671628732129,10.221251853923965,95.42036016562004,47.51460788485615,23.468805356506742,,GPSampler,COMPLETE
52,52,1.6378230289745588,2026-04-13 10:10:40.023567,2026-04-13 10:11:10.417181,0 days 00:00:30.393614,29.06091540237209,28.645062188589463,86.46845648267102,-53.31786212486999,74.42699399897617,43.42232892949717,18.41996533356732,38.97526285069764,27.99220699260212,29.429136117442663,36.258934036887595,21.717680958791888,-46.74111881295561,32.485200954879616,17.265431510528682,50.90835811794257,36.02404840327145,10.833163888970478,,GPSampler,COMPLETE
105,105,0.12527428208037605,2026-04-13 10:20:23.478086,2026-04-13 10:20:43.568382,0 days 00:00:20.090296,46.80385270222767,97.81932806741581,76.13768291374724,-32.40732234976177,99.96905270120662,40.99020008343009,24.179551589550186,40.12650207008392,28.41525892955125,94.78327743202432,25.208436419963707,44.230055330550506,-38.508233018215634,54.1183149622538,12.319278247215962,47.47918831535223,46.557009751856505,15.217699836076779,,GPSampler,COMPLETE
215,215,0.11651128319588366,2026-04-13 10:35:53.845164,2026-04-13 10:36:04.165348,0 days 00:00:10.320184,53.21637878808919,43.471407252631735,77.38224025794588,-26.809435180421367,67.3891043235998,88.52349920506079,70.1074951679753,38.38872252241184,16.834096525942865,55.0014564450283,12.64094152297841,11.340180326445271,-73.59234340056022,65.32857400713085,41.92446603966112,40.31752633358233,45.91615778758052,29.60246277229041,,GPSampler,COMPLETE
298,298,4.503274883707164,2026-04-13 10:44:18.765928,2026-04-13 10:44:34.083746,0 days 00:00:15.317818,44.12407078031045,89.97967928909158,70.74365845782617,-43.08104859930752,67.80259157381896,67.38255027384614,96.91108119302243,34.415887523872634,16.851218462464214,14.880546258931284,43.62482755762939,44.528869026903116,-74.12066887400421,13.71947268374341,21.352717328692105,53.99131807627418,49.712444608328155,22.953267678836053,,GPSampler,COMPLETE
607,607,2.9041216451893064,2026-04-13 11:15:46.520985,2026-04-13 11:15:56.863754,0 days 00:00:10.342769,93.3567923593979,23.20462306923223,51.64719713486417,-61.82925079867731,69.27108795893423,36.15426613984714,20.80443669596903,36.08583646748665,20.324179142866747,33.11757212146411,26.56188401051641,16.53202201573637,-49.50880204019499,40.36973885655653,21.503933259342176,64.24981165052498,36.480115920611034,21.24988208435255,,GPSampler,COMPLETE
