,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_cma:optimizer:2,system_attrs_cma:optimizer:3,system_attrs_cma:optimizer:4,system_attrs_cma:optimizer:5,system_attrs_cma:optimizer:6,state
0,0,,2026-05-18 14:45:14.260796,2026-05-18 14:45:15.064463,0 days 00:00:00.803667,54.35275570699797,74.42440854163715,46.788991718300245,-55.196913593269954,46.33084130883728,52.25137630791701,20.659439991909974,16.531321538259952,2.557231912171094,97.12582786029265,53.92321243656106,23.19416335453238,-66.44645789247551,90.19222017966288,80.87498469500565,53.209767790196,60.660028302267605,39.41473701913503,Unfeasible shape,,,,,,,,,PRUNED
1,1,,2026-05-18 14:45:15.144321,2026-05-18 14:45:15.354992,0 days 00:00:00.210671,63.60530089387511,41.9886626748647,94.80338070869769,-67.67662142823438,54.479360058768535,26.513009714279427,19.824302768274784,-19.151336471437435,-8.087459045233008,20.81604910554243,97.9166950885082,81.89296055732777,-33.94607395654477,37.955988732676836,37.41071510534052,78.43862595693827,44.98086337220968,29.943677613395423,Unfeasible shape,,,,,,,,,PRUNED
2,2,,2026-05-18 14:45:15.443752,2026-05-18 14:45:15.656897,0 days 00:00:00.213145,60.92435757444098,40.222792273417305,15.753910908013356,-73.69327254485776,56.24381688579102,74.29595675678938,97.77569830877162,-27.414817883186767,56.91608587973988,67.07575045934948,76.52548434636367,40.30956048685688,-33.572209074703515,2.69125757285862,56.51084770272492,67.0378097119814,53.87230018755517,11.282511130062055,Unfeasible shape,,,,,,,,,PRUNED
3,3,24.878366264115186,2026-05-18 14:45:15.752726,2026-05-18 14:45:35.928218,0 days 00:00:20.175492,78.95610841984718,70.6073440035455,82.20851025561636,-30.40520530778035,23.880222997978922,23.581692916218717,71.93070112934116,-36.329833271054,109.03746563524481,15.723601557754813,97.71307406258737,52.83966474792025,-33.15885392519309,47.351437152388094,1.791368139455527,88.70508721463618,31.827968456505218,10.127364893118333,,,,,,,,,,COMPLETE
4,4,,2026-05-18 14:45:37.440405,2026-05-18 14:45:37.903901,0 days 00:00:00.463496,55.558841551379956,56.58913014039985,51.95699275216714,-45.19449788748713,28.803565195141346,79.69659713623646,22.422411339925954,17.497413877570068,50.386421380112765,48.12333001707424,41.85168496871084,40.8175512058887,-38.960460811934524,27.572515085540562,59.13127438579757,35.81041154052243,53.33277815842855,-13.354361089970016,Unfeasible shape,0.0,,,,,,,,PRUNED
5,5,,2026-05-18 14:45:38.012562,2026-05-18 14:45:38.225686,0 days 00:00:00.213124,12.684477524296536,43.77731528022718,78.04610785535165,-60.87072169774452,75.67901946819006,40.75569474259382,53.16001076304064,4.147961506693036,50.441615530864766,61.749701206691626,49.94788314659327,74.66383346541029,-43.014654435894215,57.57254678585885,65.66072242024944,72.40645484759743,37.78310950798279,27.370922475029957,Unfeasible shape,0.0,,,,,,,,PRUNED
6,6,,2026-05-18 14:45:38.313233,2026-05-18 14:45:38.593029,0 days 00:00:00.279796,48.39500061789417,77.64844397091147,67.37879348308851,-26.346164427691065,13.682912287979553,68.37861706435392,64.52076879647879,-1.9682725023237495,87.91720059653105,42.90425026937775,26.05452144992011,39.963296542682784,-40.51840206074689,53.77432429701142,27.69581216097763,35.424940369978295,14.158260217745237,6.672243019910056,Unfeasible shape,0.0,,,,,,,,PRUNED
7,7,,2026-05-18 14:45:38.697414,2026-05-18 14:45:38.932133,0 days 00:00:00.234719,46.59292784810977,43.56271305051756,41.69814944405865,-41.496839580093926,57.56973529623012,22.724235088885045,81.79565517866786,10.336493037807848,58.42575953676297,59.65037234189096,58.26369755219212,48.05328786313589,-47.850059260662086,24.605970862724728,75.96497341407408,26.7152743301852,29.8284925053866,-0.3866378282900129,Unfeasible shape,0.0,,,,,,,,PRUNED
8,8,21.018144980606202,2026-05-18 14:45:39.026563,2026-05-18 14:45:52.623643,0 days 00:00:13.597080,54.90369115246744,63.456210393447215,42.33266266634349,-57.896419081246336,26.92351147524439,67.1896627436906,66.58438975223277,6.955324269511728,67.90369393570867,22.75690653601926,52.283136435780214,57.179451925870616,-47.990902858875465,47.61268330617294,51.17913311813342,32.169711141221,10.573842738364956,11.072179194259022,,0.0,,,,,,,,COMPLETE
9,9,,2026-05-18 14:45:53.825536,2026-05-18 14:45:54.092243,0 days 00:00:00.266707,74.30968437327296,41.46304478174963,72.20318098664647,-58.66880119990013,33.63070332702641,38.91313139814709,60.358552052746724,0.7020202711589718,65.57639610865328,56.828297212052405,14.759741389885761,46.016192571634846,-26.610083727961275,54.211037988292,55.700602021100124,71.81170573916677,27.068243360148415,22.294753460314226,Unfeasible shape,0.0,,,,,,,,PRUNED
