Study                  : no-name-b33cf3c0-5860-44cd-8f60-cf545cc2eb69
- Start                : 2026-05-12 22:08:41.725436
- End                  : 2026-05-13 04:48:47.042927
- Duration             : 6:40:05.317491
- Sampler              : CmaEsSampler
- Pruner               : HyperbandPruner
- Trials               : 2000
-- Completed trials    : 1411, 70.55 %
-- Pruned trials       : 589, 29.45 %
--- Unfeasible shapes  : 589, 100.00 %
--- Unattained targets : 0, 0.00 %
-- Failed trials       : 0, 0.00 %
-- Parameters          :
                         lowPt.rL1	: [10,100]
                         lowPt.rL2	: [10,100]
                         lowPt.x2	: [0,75]
                         lowPt.y2	: [0,75]
                         lowPt.rA2	: [-80,-20]
                         lowPt.rL3	: [10,100]
                         highPt.rL1	: [10,100]
                         highPt.rL2	: [10,100]
                         highPt.x2	: [0,75]
                         highPt.y2	: [0,75]
                         highPt.rA2	: [-80,-20]
                         highPt.rL3	: [10,100]
-- Results             : 
                         Trial number : 1416, Value : 40.984305, Duration : 0:00:14.648410
                         Trial number : 1824, Value : 40.984341, Duration : 0:00:13.061710
                         Trial number : 1969, Value : 40.984455, Duration : 0:00:15.405994
                         Trial number : 1200, Value : 40.984638, Duration : 0:00:14.629506
                         Trial number : 1860, Value : 40.984798, Duration : 0:00:13.647085
                         Trial number : 1782, Value : 40.984975, Duration : 0:00:15.187456
                         Trial number : 1899, Value : 40.985115, Duration : 0:00:15.486562
                         Trial number : 1995, Value : 40.985509, Duration : 0:00:16.866046
                         Trial number : 1748, Value : 40.985515, Duration : 0:00:13.284298
                         Trial number : 1727, Value : 40.985554, Duration : 0:00:14.589753
                         Trial number : 1818, Value : 40.985642, Duration : 0:00:13.818579
                         Trial number : 1861, Value : 40.985827, Duration : 0:00:13.638355
                         Trial number : 1628, Value : 40.985929, Duration : 0:00:15.305828
                         Trial number : 1895, Value : 40.986098, Duration : 0:00:14.714373
                         Trial number : 1856, Value : 40.986134, Duration : 0:00:15.112766
                         Trial number : 1846, Value : 40.986188, Duration : 0:00:15.023660
                         Trial number : 1842, Value : 40.986230, Duration : 0:00:14.951874
                         Trial number : 1482, Value : 40.986289, Duration : 0:00:17.175409
                         Trial number : 1812, Value : 40.986305, Duration : 0:00:13.092289
                         Trial number : 1787, Value : 40.986467, Duration : 0:00:15.156622
                         Trial number : 1572, Value : 40.986621, Duration : 0:00:14.142254
                         Trial number : 1855, Value : 40.986661, Duration : 0:00:15.346196
                         Trial number : 1972, Value : 40.987341, Duration : 0:00:13.427405
                         Trial number : 1634, Value : 40.987581, Duration : 0:00:13.610298
                         Trial number : 1746, Value : 40.987826, Duration : 0:00:12.995995
                         Trial number : 1957, Value : 40.987874, Duration : 0:00:13.080844
                         Trial number : 1528, Value : 40.988009, Duration : 0:00:14.847649
                         Trial number : 1920, Value : 40.988036, Duration : 0:00:13.573282
                         Trial number : 1256, Value : 40.988085, Duration : 0:00:12.945874
                         Trial number : 1767, Value : 40.988480, Duration : 0:00:14.865374
                         Trial number : 1560, Value : 40.988563, Duration : 0:00:13.070683
                         Trial number : 884, Value : 40.988607, Duration : 0:00:15.757377
                         Trial number : 1798, Value : 40.988633, Duration : 0:00:12.430374
                         Trial number : 1997, Value : 40.988813, Duration : 0:00:14.849221
                         Trial number : 1655, Value : 40.989346, Duration : 0:00:14.256876
                         Trial number : 1894, Value : 40.989698, Duration : 0:00:13.980644
                         Trial number : 1841, Value : 40.989830, Duration : 0:00:13.743246
                         Trial number : 1985, Value : 40.989853, Duration : 0:00:13.251599
                         Trial number : 1616, Value : 40.989894, Duration : 0:00:14.974288
                         Trial number : 1758, Value : 40.990068, Duration : 0:00:14.885382
                         Trial number : 1783, Value : 40.990112, Duration : 0:00:14.857858
                         Trial number : 1477, Value : 40.990196, Duration : 0:00:13.029291
                         Trial number : 1867, Value : 40.990261, Duration : 0:00:17.189224
                         Trial number : 1826, Value : 40.990337, Duration : 0:00:15.068556
                         Trial number : 1815, Value : 40.990703, Duration : 0:00:13.330089
                         Trial number : 1135, Value : 40.990848, Duration : 0:00:16.234233
                         Trial number : 1953, Value : 40.991397, Duration : 0:00:12.883251
                         Trial number : 1661, Value : 40.991527, Duration : 0:00:13.401036
                         Trial number : 1854, Value : 40.991591, Duration : 0:00:15.093336
                         Trial number : 1869, Value : 40.991633, Duration : 0:00:13.803262
                         Trial number : 1858, Value : 40.991720, Duration : 0:00:13.623895
                         Trial number : 1667, Value : 40.991743, Duration : 0:00:15.448191
                         Trial number : 1016, Value : 40.991830, Duration : 0:00:15.614198
                         Trial number : 1013, Value : 40.991919, Duration : 0:00:15.830266
                         Trial number : 1643, Value : 40.991991, Duration : 0:00:12.730839
                         Trial number : 1890, Value : 40.992066, Duration : 0:00:12.998232
                         Trial number : 1690, Value : 40.992273, Duration : 0:00:15.519703
                         Trial number : 1749, Value : 40.992352, Duration : 0:00:13.279425
                         Trial number : 1652, Value : 40.992365, Duration : 0:00:15.000867
                         Trial number : 1290, Value : 40.992410, Duration : 0:00:12.581312
                         Trial number : 1577, Value : 40.992440, Duration : 0:00:16.877167
                         Trial number : 1729, Value : 40.992445, Duration : 0:00:17.389214
                         Trial number : 1601, Value : 40.992582, Duration : 0:00:14.804978
                         Trial number : 1220, Value : 40.992614, Duration : 0:00:13.419296
                         Trial number : 1621, Value : 40.992856, Duration : 0:00:15.253325
                         Trial number : 1955, Value : 40.993050, Duration : 0:00:13.525643
                         Trial number : 1968, Value : 40.993237, Duration : 0:00:15.110024
                         Trial number : 1785, Value : 40.993340, Duration : 0:00:14.986037
                         Trial number : 1943, Value : 40.993592, Duration : 0:00:13.453462
                         Trial number : 1523, Value : 40.993617, Duration : 0:00:14.569178
