,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
17,17,6.0,2026-04-21 16:35:25.501722,2026-04-21 16:35:25.572014,0 days 00:00:00.070292,-79.10662171796427,14.625166830136608,23.550696355027668,99.98588967327423,25.518920419258173,69.86591601088769,-66.91925924754125,55.324292350308376,59.93406799164954,29.56926213207458,-7.7990115965896045,-5.842446008527501,Unfeasible shape,RandomSampler,PRUNED
18,18,6.0,2026-04-21 16:35:25.704804,2026-04-21 16:35:25.805482,0 days 00:00:00.100678,-24.030561666179935,39.00903985006241,76.15158928427122,92.62926181533182,70.97744003384327,57.38317684304643,-46.43134636016273,50.069145616259114,81.9088154025947,70.48750592134175,-0.6516455093034637,48.40389403005751,Unfeasible shape,RandomSampler,PRUNED
19,19,6.0,2026-04-21 16:35:25.931901,2026-04-21 16:35:26.026505,0 days 00:00:00.094604,-43.18591059417255,94.91633263576222,49.671402324216245,13.078772661349262,19.29238950158992,-7.784453532449632,-22.007641284111862,61.03501307832708,19.136021374473998,60.843663367084595,24.596963565588588,70.63439303535218,Unfeasible shape,RandomSampler,PRUNED
20,20,6.0,2026-04-21 16:35:26.166587,2026-04-21 16:35:26.267393,0 days 00:00:00.100806,-76.8929441907352,30.721715912791996,12.050671282553255,99.06993803451914,87.96594415065921,76.85413494540254,-70.42963422482195,86.57261158915708,87.34787482686812,38.644663804925955,15.71723027133796,62.75777803214207,Unfeasible shape,RandomSampler,PRUNED
21,21,97.88223755219806,2026-04-21 16:35:26.393157,2026-04-21 16:35:31.925602,0 days 00:00:05.532445,-41.536061188299044,23.554232944802195,23.396803602871728,43.63489571013048,44.758264447745844,-20.003195702329435,-49.774798025298225,32.075711032773704,64.22182126216397,77.81240892863906,36.45692999739502,24.043189384261723,Unattained target,RandomSampler,PRUNED
22,22,6.0,2026-04-21 16:35:32.050964,2026-04-21 16:35:32.124991,0 days 00:00:00.074027,-73.64196668900206,98.42804375751335,71.849431334357,39.47105011461564,26.532950371210525,26.54718073710736,-35.732810463106645,52.43522231321324,24.18620468676192,22.687836984370154,-22.888420954176816,69.99554353206308,Unfeasible shape,RandomSampler,PRUNED
23,23,5.350490959214021,2026-04-21 16:35:32.290749,2026-04-21 16:35:37.355387,0 days 00:00:05.064638,-65.82437196355976,19.63204829689969,91.21438711882188,14.590669841512842,33.67055954920862,29.61405273501815,-68.62792428497266,25.540638082442882,41.3536935684004,59.970281157936355,36.6471741751058,9.192359430931049,Unattained target,RandomSampler,PRUNED
24,24,6.0,2026-04-21 16:35:37.474915,2026-04-21 16:35:37.556918,0 days 00:00:00.082003,-57.927550865769526,78.85538204046465,62.961511065683986,86.10807961524749,33.97613816181016,-7.778075918022207,-51.46742396073972,65.18427457246021,74.8126571372132,11.234710750701135,-27.160565555677696,14.104340929281815,Unfeasible shape,RandomSampler,PRUNED
25,25,6.0,2026-04-21 16:35:37.682294,2026-04-21 16:35:37.751003,0 days 00:00:00.068709,-21.249007883719244,33.46772932408265,21.17924394495628,69.10719794348877,-6.9597842744616685,23.509259026090795,-57.002281601824926,24.66113595728754,22.560130822063883,48.72693837895252,-0.17639041939759892,27.219873564994487,Unfeasible shape,RandomSampler,PRUNED
26,26,6.0,2026-04-21 16:35:37.899318,2026-04-21 16:35:38.624570,0 days 00:00:00.725252,-70.56979688637374,33.69541506146824,74.9285969202338,87.90197443800267,85.34954629000349,-2.1640958361585056,-39.89773155036373,16.177639582682737,42.50577450840097,58.18880050689848,-6.7804964816949465,108.99502122655323,Unfeasible shape,RandomSampler,PRUNED
27,27,6.0,2026-04-21 16:35:38.746143,2026-04-21 16:35:38.824079,0 days 00:00:00.077936,-55.066654904816176,53.02210636130039,27.73154685819168,72.29980374139168,43.72415981400516,-1.8329719173163568,-52.013889358437105,39.3247909784174,25.40326939362322,72.48646132675768,-23.754355310990988,90.62683604495398,Unfeasible shape,RandomSampler,PRUNED
28,28,6.0,2026-04-21 16:35:38.959353,2026-04-21 16:35:39.022545,0 days 00:00:00.063192,-23.269843435403857,74.60711613116011,18.54064727240994,55.776803034985036,56.94797285237557,-23.48095638149454,-61.90264542822892,43.37241646438568,52.06079302254878,94.01031161554855,-21.671263591812174,91.16136976776464,Unfeasible shape,RandomSampler,PRUNED
29,29,6.0,2026-04-21 16:35:39.151610,2026-04-21 16:35:39.225674,0 days 00:00:00.074064,-77.29834270646114,49.74955233547007,31.83966013793684,38.001993329375836,66.20832725465257,49.59848629132837,-38.91483776388339,56.39013636927125,92.167515680992,99.64229962082018,2.5700809745525106,-0.04604473525207986,Unfeasible shape,RandomSampler,PRUNED
30,30,6.0,2026-04-21 16:35:39.357450,2026-04-21 16:35:39.461741,0 days 00:00:00.104291,-74.78946584036824,81.22077940694501,50.75490485746695,40.15264684319695,44.98757929420942,-16.630000253272485,-52.20134220663139,94.56935268341032,17.39335144788864,55.16467629043544,24.860088187984047,14.741100621641568,Unfeasible shape,RandomSampler,PRUNED
31,31,6.0,2026-04-21 16:35:39.591059,2026-04-21 16:35:39.661021,0 days 00:00:00.069962,-34.16890589787701,36.96165744882348,56.713748255841196,13.72808098602284,7.672532522755564,52.8205181295273,-38.411789780579866,47.68573835970643,24.869097341304144,93.32570328659452,29.49904617878868,21.237951603355327,Unfeasible shape,RandomSampler,PRUNED
32,32,6.255115067617677,2026-04-21 16:35:39.795186,2026-04-21 16:35:45.698304,0 days 00:00:05.903118,-49.24632024011052,44.50857873039283,59.64094214481007,56.350877039084565,47.921955084358835,-7.012849669985744,-55.277389353090896,30.878302776350978,27.861250140142452,65.3430656587385,8.539099101015857,-1.5717142340784758,Unattained target,RandomSampler,PRUNED
33,33,6.161705155164881,2026-04-21 16:35:45.829651,2026-04-21 16:35:52.356012,0 days 00:00:06.526361,-35.32560645817519,28.163838245454762,56.91225767781435,78.23827710304755,85.17328688948085,7.926571867325855,-55.638176639582355,95.25980937642349,10.989513927652009,88.86831296682188,26.426287826731816,-9.031515335290504,Unattained target,RandomSampler,PRUNED
34,34,6.0,2026-04-21 16:35:52.481367,2026-04-21 16:35:52.581692,0 days 00:00:00.100325,-35.45004382368994,65.14153745334158,97.51467135977447,72.34906434456153,77.92307572399383,49.41818202302487,-74.44848431392222,81.67983637576818,84.4700178142611,64.36965314821808,29.203740840271784,71.67206769363361,Unfeasible shape,RandomSampler,PRUNED
35,35,7.101204244754442,2026-04-21 16:35:52.717121,2026-04-21 16:35:58.141233,0 days 00:00:05.424112,-40.58438924299604,29.332517851996084,31.133441545039886,40.23021710779169,30.345647982800372,-13.875550572497012,-22.81031123775191,48.32644238060737,30.427544636857323,27.094186775919205,6.818906224654526,108.5161753154016,Unattained target,RandomSampler,PRUNED
36,36,7.805628511601157,2026-04-21 16:35:58.278057,2026-04-21 16:36:04.023562,0 days 00:00:05.745505,-53.84211708578869,49.964288670611,59.39137044653197,16.01826267778189,43.78947105671989,22.99757614340276,-69.43386232503315,61.47429349219804,49.31493966966963,83.32711648100225,35.06466154196188,85.39183193135072,Unattained target,RandomSampler,PRUNED
37,37,6.0,2026-04-21 16:36:04.144417,2026-04-21 16:36:04.194345,0 days 00:00:00.049928,-30.07867511173172,91.40009866905257,15.989911351896016,19.474307770298793,73.76289016424408,57.785125268047835,-70.76089483739378,71.40008206223602,68.77352808327538,79.7112861796824,-0.22910578682553862,43.68125385358606,Unfeasible shape,RandomSampler,PRUNED
38,38,6.0,2026-04-21 16:36:04.346982,2026-04-21 16:36:04.447967,0 days 00:00:00.100985,-66.01403276584092,53.1611295594627,85.41640631769742,72.99532021967161,34.33685666322688,-3.306398549485582,-25.81484285441475,64.77290237219614,85.58736842785922,39.93414814429029,29.020461358231387,75.92757178351627,Unfeasible shape,RandomSampler,PRUNED
