,number,value,datetime_start,datetime_complete,duration,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
0,0,6.0,2026-04-25 00:34:21.037492,2026-04-25 00:34:21.514152,0 days 00:00:00.476660,-45.100167635985514,20.78710550174944,59.02241129422922,54.1364279565254,66.08448389189684,-14.417609479846934,-45.32712009034905,33.60146641961599,42.814155589081864,40.188810552676884,-6.897160975270179,-3.269996922336855,Unfeasible shape,RandomSampler,PRUNED
1,1,0.04287373922239013,2026-04-25 00:34:21.657702,2026-04-25 00:34:34.968283,0 days 00:00:13.310581,-27.32977974336807,57.25886322149261,25.611502440371453,87.32630213363558,69.01679298652934,-17.439626448784203,-27.94398796394554,71.11389674918405,23.212495828826718,52.81333334151916,22.042039763343645,-17.00043793898312,,RandomSampler,COMPLETE
